Sale_Price,Lot_Frontage,Lot_Area,Neighborhood,Overall_Qual,Total_Bsmt_SF,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Garage_Area,Longitude,Latitude
215000,141,31770,North_Ames,Above_Average,1080,1656,0,1656,528,-93.619754,42.054035
105000,80,11622,North_Ames,Average,882,896,0,896,730,-93.619756,42.053014
172000,81,14267,North_Ames,Above_Average,1329,1329,0,1329,312,-93.6193873,42.052659
244000,93,11160,North_Ames,Good,2110,2110,0,2110,522,-93.61732,42.051245
189900,74,13830,Gilbert,Average,928,928,701,1629,482,-93.638933,42.060899
195500,78,9978,Gilbert,Above_Average,926,926,678,1604,470,-93.638925,42.060779
213500,41,4920,Stone_Brook,Very_Good,1338,1338,0,1338,582,-93.633792,42.062978
191500,43,5005,Stone_Brook,Very_Good,1280,1280,0,1280,506,-93.633826,42.060728
236500,39,5389,Stone_Brook,Very_Good,1595,1616,0,1616,608,-93.632852,42.06112
189000,60,7500,Gilbert,Good,994,1028,776,1804,442,-93.639068,42.059193
175900,75,10000,Gilbert,Above_Average,763,763,892,1655,440,-93.636947,42.05848
185000,0,7980,Gilbert,Above_Average,1168,1187,0,1187,420,-93.635951,42.057419
180400,63,8402,Gilbert,Above_Average,789,789,676,1465,393,-93.638647,42.058151
171500,85,10176,Gilbert,Good,1300,1341,0,1341,506,-93.634626,42.057268
212000,0,6820,Stone_Brook,Very_Good,1488,1502,0,1502,528,-93.632913,42.059169
538000,47,53504,Stone_Brook,Very_Good,1650,1690,1589,3279,841,-93.62655,42.061239
164000,152,12134,Gilbert,Very_Good,559,1080,672,1752,492,-93.6235954,42.06035139999999
394432,88,11394,Stone_Brook,Excellent,1856,1856,0,1856,834,-93.628804,42.05885
141000,140,19138,Gilbert,Below_Average,864,864,0,864,400,-93.622971,42.056673
210000,85,13175,Northwest_Ames,Above_Average,1542,2073,0,2073,500,-93.636655,42.054453
190000,105,11751,Northwest_Ames,Above_Average,1844,1844,0,1844,546,-93.633962,42.050346
170000,85,10625,Northwest_Ames,Good,1053,1173,0,1173,528,-93.636372,42.05027
216000,0,7500,Somerset,Good,814,814,860,1674,663,-93.639366,42.049297
149000,0,11241,North_Ames,Above_Average,1004,1004,0,1004,480,-93.626231,42.055147
149900,0,12537,North_Ames,Average,1078,1078,0,1078,500,-93.626537,42.054592
142000,65,8450,North_Ames,Average,1056,1056,0,1056,304,-93.628806,42.055227
126000,70,8400,North_Ames,Below_Average,882,882,0,882,525,-93.627112,42.053395
115000,70,10500,North_Ames,Below_Average,864,864,0,864,0,-93.622769,42.056375
184000,26,5858,North_Ames,Good,1405,1337,0,1337,511,-93.624373,42.055318
96000,21,1680,Briardale,Above_Average,483,483,504,987,264,-93.627271,42.051835
